coin,tf,config,L,slMult,RR,bias,IS_from,IS_to,OOS_from,OOS_to,IS_n,IS_WR,IS_avgR,IS_sumR,IS_PF,IS_maxDD,IS_net06,IS_net04,IS_sumR_TPfirst,OOS_n,OOS_WR,OOS_avgR,OOS_sumR,OOS_PF,OOS_maxDD,OOS_net06,OOS_net04,OOS_sumR_TPfirst,OOS_insufficient,survives_OOS,relaxed_IS
XRPUSDT,3m,WF-winner,20,2.5,4.5,6,2022-07-01,2025-04-18,2025-04-18,2026-06-30,3184,0.3326005025125628,0.07877599945825015,250.82278227506845,1.1356325774000404,-33.53125,-562.1624798394624,-291.1673924679522,253.54153227506845,1464,0.3073770491803279,-0.012239803915341331,-17.91907293205971,0.9799905665692182,-60.9375,-435.47213129609696,-296.28777850808456,-16.85657293205971,False,False,False
XRPUSDT,3m,Fixed-default,30,2.1,3.5,5,2022-07-01,2025-04-18,2025-04-18,2026-06-30,4748,0.36541701769165963,-0.0035212194608256107,-16.71875,0.9937070669050532,-129.15625,-1599.4578192529789,-1071.8781295019862,-9.625,1963,0.3815588385124809,0.050479598892127255,99.09145262524581,1.0928855376415685,-29.21875,-623.9646168318177,-382.9459270127966,104.37270262524581,False,True,
XRPUSDT,15m,WF-winner,10,1.5,3.5,0,2022-07-02,2025-04-18,2025-04-18,2026-06-30,1788,0.3870246085011186,0.06925797098114561,123.83325211428836,1.1300001334445648,-41.46875,-189.73733219764927,-85.21380409367009,133.17700211428837,831,0.34296028880866425,-0.04396876358228808,-36.53804253688139,0.923938501094184,-66.46875,-194.5458501203281,-141.8765809258459,-32.88179253688139,False,False,False
XRPUSDT,15m,Fixed-default,30,2.1,3.5,5,2022-07-02,2025-04-18,2025-04-18,2026-06-30,839,0.3528009535160906,-0.038539000869095535,-32.334221729171155,0.9327014234157055,-42.4375,-143.30826854560138,-106.3169196067913,-25.490471729171155,367,0.40054495912806537,0.10703337874659401,39.28125,1.2052244897959183,-12.75,-13.933603066488885,3.804681289007405,39.28125,False,True,
XRPUSDT,1h,WF-winner,35,1.0,4.0,2,2022-07-06,2025-04-18,2025-04-18,2026-06-30,284,0.3732394366197183,0.2007042253521127,57.0,1.38,-10.5,17.933280921023908,30.955520614015935,59.75,117,0.37606837606837606,0.1623931623931624,19.0,1.304,-11.75,1.9408823182997101,7.6272548788664665,19.0,False,True,False
XRPUSDT,1h,Fixed-default,30,2.1,3.5,5,2022-07-06,2025-04-18,2025-04-18,2026-06-30,225,0.38222222222222224,0.020653835955656653,4.647113090022747,1.0373355809391733,-17.21875,-9.150643358438971,-4.551391208951731,6.240863090022747,106,0.36792452830188677,0.12293632075471699,13.03125,1.2261388286334056,-12.0,5.972699002164875,8.325549334776582,13.03125,False,True,
XRPUSDT,4h,WF-winner,10,1.0,3.5,4,2022-07-21,2025-04-18,2025-04-18,2026-06-30,155,0.47096774193548385,0.24879032258064515,38.5625,1.5275758871312526,-5.53125,29.023523155745607,32.20318210383041,40.625,77,0.37662337662337664,0.05925324675324675,4.5625,1.1053391053391053,-14.25,-0.6029999902022949,1.1188333398651396,4.5625,False,True,False
XRPUSDT,4h,Fixed-default,30,2.1,3.5,5,2022-07-21,2025-04-18,2025-04-18,2026-06-30,53,0.4528301886792453,0.23003280047861133,12.1917384253664,1.4553061640723148,-4.53125,10.780438349264214,11.250871707964949,13.0979884253664,22,0.5909090909090909,0.8387049393280349,18.451508665216767,3.4298283015923317,-1.0625,17.751000447516088,17.984503186749645,18.451508665216767,True,False,
XRPUSDT,1d,WF-winner,10,1.0,2.0,2,2022-10-29,2025-04-17,2025-04-18,2026-06-30,30,0.4,0.020833333333333332,0.625,1.0434782608695652,-3.375,-0.030935567127388763,0.1877096219150749,1.875,14,0.42857142857142855,0.14285714285714285,2.0,1.3636363636363635,-3.625,1.6332376807128364,1.7554917871418907,2.0,True,False,False
XRPUSDT,1d,Fixed-default,30,2.1,3.5,5,2022-10-29,2025-04-17,2025-04-18,2026-06-30,10,0.3,-0.08562409442408782,-0.8562409442408782,0.8469289932083347,-5.0625,-0.9440317485819252,-0.9147681471349092,-0.8562409442408782,4,0.5,0.6636467397474584,2.6545869589898334,2.7336078099525443,-0.53125,2.612100370371518,2.626262566577623,2.6545869589898334,True,False,
