coin,side,entry_ts,exit_ts,R,day
SOLUSDT,short,1693469160000,1693480860000,-1.0,1693440000000
SOLUSDT,short,1693652940000,1693668420000,-1.0,1693612800000
SOLUSDT,long,1693969380000,1693971720000,-1.0,1693958400000
SOLUSDT,long,1694743380000,1694799180000,-1.0,1694736000000
SOLUSDT,long,1695194460000,1695199860000,3.0,1695168000000
SOLUSDT,long,1695240180000,1695276360000,-1.0,1695168000000
SOLUSDT,short,1696878180000,1696947120000,-1.0,1696809600000
SOLUSDT,short,1697022900000,1697074740000,3.0,1696982400000
SOLUSDT,long,1697942160000,1697959620000,-1.0,1697932800000
SOLUSDT,long,1698768360000,1698795000000,3.0,1698710400000
SOLUSDT,long,1699691580000,1699708680000,3.0,1699660800000
SOLUSDT,long,1699876980000,1699877880000,-1.0,1699833600000
SOLUSDT,long,1700071920000,1700079840000,3.0,1700006400000
SOLUSDT,long,1701295380000,1701324900000,3.0,1701216000000
SOLUSDT,short,1701730980000,1701737100000,-1.0,1701648000000
SOLUSDT,long,1701904680000,1701906660000,-1.0,1701820800000
SOLUSDT,long,1702562580000,1702895580000,-1.0,1702512000000
SOLUSDT,long,1703563380000,1703568780000,-1.0,1703548800000
SOLUSDT,long,1703581380000,1703605860000,-1.0,1703548800000
SOLUSDT,short,1704707280000,1704714480000,-1.0,1704672000000
SOLUSDT,short,1705932360000,1705951080000,3.0,1705881600000
SOLUSDT,long,1706900580000,1706967360000,-1.0,1706832000000
SOLUSDT,short,1707184980000,1707186060000,-1.0,1707177600000
SOLUSDT,long,1707962580000,1707974460000,-1.0,1707955200000
SOLUSDT,short,1708219440000,1708247340000,-1.0,1708214400000
SOLUSDT,long,1708311600000,1708313220000,-1.0,1708300800000
SOLUSDT,short,1708432020000,1708439940000,3.0,1708387200000
SOLUSDT,long,1709618580000,1709667360000,-1.0,1709596800000
SOLUSDT,long,1710634140000,1710838080000,-1.0,1710633600000
SOLUSDT,short,1713122460000,1713125160000,-1.0,1713052800000
SOLUSDT,short,1713128580000,1713132000000,-1.0,1713052800000
SOLUSDT,short,1713232980000,1713283740000,3.0,1713225600000
SOLUSDT,short,1714583520000,1714585860000,-1.0,1714521600000
SOLUSDT,long,1715659560000,1715666940000,-1.0,1715644800000
SOLUSDT,long,1716044580000,1716048540000,-1.0,1715990400000
SOLUSDT,short,1716143040000,1716171480000,-1.0,1716076800000
SOLUSDT,long,1716987960000,1717050240000,-1.0,1716940800000
SOLUSDT,short,1718334360000,1718343000000,-1.0,1718323200000
SOLUSDT,short,1718402760000,1718428140000,-1.0,1718323200000
SOLUSDT,short,1718821800000,1718848980000,3.0,1718755200000
SOLUSDT,short,1720198980000,1720225980000,-1.0,1720137600000
SOLUSDT,long,1721203560000,1721204280000,-1.0,1721174400000
SOLUSDT,long,1721265660000,1721318580000,-1.0,1721260800000
SOLUSDT,long,1721590200000,1721875320000,-1.0,1721520000000
SOLUSDT,short,1722560580000,1722610800000,3.0,1722556800000
SOLUSDT,short,1723802760000,1723811400000,3.0,1723766400000
SOLUSDT,long,1724630580000,1724637060000,-1.0,1724630400000
SOLUSDT,short,1726504560000,1726552260000,-1.0,1726444800000
SOLUSDT,long,1727396280000,1727737200000,-1.0,1727395200000
SOLUSDT,short,1727766900000,1727780400000,-1.0,1727740800000
SOLUSDT,long,1729645380000,1729652400000,-1.0,1729641600000
SOLUSDT,long,1730138940000,1730313900000,-1.0,1730073600000
SOLUSDT,long,1730941560000,1730995200000,3.0,1730937600000
